query_id,query,style,topic,regime,relevant_total,precision_at_k,recall_at_k,ndcg_at_k,average_precision
Q17,case file tagging for contract documents,lexical,legal_tech,hybrid_bi,10,0.6,0.6,0.83339482864188,0.5804347826086957
Q17,case file tagging for contract documents,lexical,legal_tech,hybrid_cross,10,0.6,0.6,0.7662827236947332,0.625925925925926
Q18,ordering the most relevant security alerts first,semantic,cybersecurity,bm25,12,0.2,0.16666666666666666,0.30346113711172307,0.048611111111111105
Q18,ordering the most relevant security alerts first,semantic,cybersecurity,dense,12,0.4,0.3333333333333333,0.5478616839697238,0.5308188400293663
Q18,ordering the most relevant security alerts first,semantic,cybersecurity,hybrid_bi,12,0.2,0.16666666666666666,0.5079213964991741,0.09722222222222221
Q18,ordering the most relevant security alerts first,semantic,cybersecurity,hybrid_cross,12,0.2,0.16666666666666666,0.557709038023974,0.13888888888888887
Q19,outlier detection in patient records,mixed,healthcare_ai,bm25,17,0.2,0.11764705882352941,0.4505321801471155,0.14707596325243383
Q19,outlier detection in patient records,mixed,healthcare_ai,dense,17,0.3,0.17647058823529413,0.5677441544057849,0.07560553633217994
Q19,outlier detection in patient records,mixed,healthcare_ai,hybrid_bi,17,0.3,0.17647058823529413,0.548774541098496,0.10787496816908582
Q19,outlier detection in patient records,mixed,healthcare_ai,hybrid_cross,17,0.2,0.11764705882352941,0.549693735332676,0.08700805078752595
Q20,meaning based lookup over genomic sequence literature,semantic,bioinformatics,bm25,12,0.3,0.25,0.4275268286442347,0.14717394533571007
Q20,meaning based lookup over genomic sequence literature,semantic,bioinformatics,dense,12,0.2,0.16666666666666666,0.4076161323082731,0.12448686371100164
Q20,meaning based lookup over genomic sequence literature,semantic,bioinformatics,hybrid_bi,12,0.4,0.3333333333333333,0.5016492618521335,0.1459325396825397
Q20,meaning based lookup over genomic sequence literature,semantic,bioinformatics,hybrid_cross,12,0.4,0.3333333333333333,0.5444289792564525,0.21346153846153845
