query_id,query,topic,style,relevant_concepts,relevant_total,bm25_precision_at_k,bm25_recall_at_k,bm25_ndcg_at_k,bm25_average_precision,bm25_seconds,vector_precision_at_k,vector_recall_at_k,vector_ndcg_at_k,vector_average_precision,vector_seconds,bm25_top_docs,vector_top_docs,note
Q11,seasonal temporal signal forecasting,climate_energy,mixed,time_series,13,0.2,0.15384615384615385,0.4333885058516048,0.10279720279720281,0.0004107000004296424,0.6,0.46153846153846156,0.8231343447609891,0.47563068161074806,0.0004585999995470047,"D01897,D00665,D01905,D01065,D01189,D01837,D01395,D00681,D00395,D01745","D01745,D01841,D01897,D00537,D01193,D01089,D00073,D00665,D00137,D01153",
Q12,personalized recommendation from a user profile graph,recommender_systems,mixed,graph_recommendation,10,0.3,0.3,0.41610907932976543,0.23178266547595042,0.000566400000025169,0.2,0.2,0.5779198341578882,0.3179297279677062,0.00034159999995608814,"D00532,D01772,D01988,D01244,D01196,D01716,D00476,D01732,D01140,D01748","D01244,D01196,D01108,D01188,D00788,D01292,D01948,D01620,D01764,D01996",
Q13,grouping the audience into customer cohorts from sessions,recommender_systems,semantic,user_clustering,8,0.2,0.25,0.3977915565583828,0.07261904761904762,0.00023389999842038378,0.3,0.375,0.6099626621757602,0.413171768707483,0.0003316000002087094,"D00020,D00972,D00918,D01630,D01310,D01084,D01404,D01980,D01894,D01348","D01068,D01348,D01084,D00198,D01852,D00502,D00086,D00804,D01838,D01358",Clustering paraphrased as grouping; session domain term anchors BM25.
Q14,autonomous path planning for warehouse robots,robotics,lexical,robot_navigation,16,0.4,0.25,0.7308987695553355,0.29141382554106343,0.00018349999845668208,0.9,0.5625,0.9552009891550427,0.9158827467467173,0.0003741000000445638,"D01517,D01413,D00725,D01037,D01173,D00093,D01405,D00925,D00853,D00549","D01413,D01517,D00725,D00413,D01037,D01877,D00797,D00589,D00885,D00493",
Q15,camera lidar fusion for perception,robotics,lexical,sensor_fusion,14,0.6,0.42857142857142855,0.7794896929594821,0.4503148791199356,0.00036560000080498867,0.3,0.21428571428571427,0.5710644022559709,0.23706930297461856,0.00032869999995455146,"D00205,D01541,D00317,D00565,D01157,D01933,D01125,D00245,D01445,D00925","D00453,D01229,D00317,D00565,D00205,D00605,D01125,D01445,D01541,D01861",
Q16,genomic sequence matching across the genome,bioinformatics,mixed,dna_alignment,20,0.6,0.3,0.6742522604288566,0.28004054137802814,0.0004014000005554408,0.6,0.3,0.7751081031681949,0.2768146298146298,0.000340900000082911,"D00774,D01446,D01638,D00670,D00998,D00694,D00422,D00542,D01046,D01294","D00670,D01294,D01094,D00998,D00542,D01782,D00694,D01446,D00934,D01638",
Q17,case file tagging for contract documents,legal_tech,lexical,document_classification,10,0.6,0.6,0.8260111144063121,0.6233333333333333,0.00048720000086177606,0.6,0.6,0.83339482864188,0.6124347826086958,0.00046600000132457353,"D01855,D00783,D01647,D01655,D00679,D01255,D01951,D00415,D00455,D00311","D01855,D00679,D01655,D00783,D00551,D01255,D00415,D01951,D01647,D00759",
Q18,ordering the most relevant security alerts first,cybersecurity,semantic,ranking,12,0.2,0.16666666666666666,0.30346113711172307,0.048611111111111105,0.0002285999999003252,0.4,0.3333333333333333,0.5478616839697238,0.5308188400293663,0.000449799999842071,"D01884,D00484,D01866,D00892,D01804,D00711,D00471,D01938,D00306,D01298","D01514,D01858,D01050,D00682,D00290,D01938,D01458,D00650,D01082,D00554",Ranking paraphrased; alert domain term anchors BM25.
Q19,outlier detection in patient records,healthcare_ai,mixed,anomaly_detection,17,0.2,0.11764705882352941,0.4505321801471155,0.14707596325243383,0.0013937999992776895,0.3,0.17647058823529413,0.5677441544057849,0.07560553633217994,0.0004243000003043562,"D01856,D01560,D01144,D00776,D01472,D00384,D00408,D01155,D00291,D01033","D00064,D01584,D01808,D01560,D01856,D01080,D00592,D01576,D00424,D00336",
Q20,meaning based lookup over genomic sequence literature,bioinformatics,semantic,semantic_search,12,0.3,0.25,0.4275268286442347,0.14717394533571007,0.0007093000003806083,0.2,0.16666666666666666,0.4076161323082731,0.12448686371100164,0.0005320000000210712,"D00606,D01686,D01502,D01322,D00710,D00232,D00775,D00190,D01272,D00806","D00606,D00710,D01686,D00806,D01070,D00910,D01870,D01272,D00694,D01696",Semantic retrieval paraphrased; sequence domain term anchors BM25.
